OBJECTID,NAME,PMA,PARKSBND_AREA,GLOBALID,SHAPE_Length,SHAPE_Area
1,12TH AVE SQUARE PARK,4467,7316.172948,{AE241324-AFE9-4547-9EDB-62D4B0F7A0FA},342.909024595341,7316.14368341806
2,14TH AVENUE NW BOAT RAMP,4010,27888.351315,{89299145-B23A-4EDE-B1E5-B577868BF60C},758.646958329287,27888.2397618104
3,17TH AVENUE NE CENTERSTRIP,4160,71950.878767,{8EDD427F-3581-4366-A04E-271B8567F929},5902.22716085818,71950.5909663495
4,3001 E MADISON,296,14679.930267,{950F7FC4-29A7-4232-B4A5-2C441AD9B7F8},578.56701125626,14679.8715478322
5,48TH AVE SW/SW CHARLESTOWN ST,4590,14467.911693,{16DA0F5B-E8C1-4B5B-B42C-98D46B457DCF},481.835245865783,14467.8538213485
6,6TH AVENUE NW POCKET PARK,3158,9006.612569,{503D8E49-0FBF-43AA-8E2F-5D630E45F5F4},380.913393398784,9006.57654296454
7,8605 35TH AVE NE,654,13710.692277,{55B07047-CDF4-4153-82BA-557DB8FB7E39},470.291855160306,13710.6374345917
8,ALASKAN WAY BOULEVARD,4449,95870.357998,{79766ED3-D387-40FE-8CCA-6E7BFEA0F24E},1973.94960515201,95869.9745160796
9,ALBERT DAVIS PARK,244,58459.982889,{91C64E97-D584-491C-B46D-CFA4F4C86833},1218.10297149216,58459.7490490486
10,ALICE BALL PARK,4484,18698.81889,{6B77F147-9168-47F8-B69F-0DC78327EF43},597.372429138483,18698.7440943719
11,ALKI BEACH PARK,445,5919768.153795,{B89D7027-E327-44BA-833D-09C1D2E4419C},23763.7161464541,5919744.47474066
12,ALKI PLAYGROUND,446,197688.894591,{AF427F79-99DB-4FA4-8482-B6141CB3B7E4},1956.73264192268,197688.103834839
13,ALVIN LARKINS PARK,3914,28512.234511,{895EFE59-041E-4434-95DD-2B57C8D4F181},717.052488605017,28512.1204620266
14,AMY YEE TENNIS CENTER,426,368391.302528,{A3EFF517-2ACE-49D4-9E85-59E2C5424E2A},3613.42437263971,368389.828965199
15,ANDOVER PLACE,2927,8357.088812,{94EB465E-871F-4F91-96B4-C38C3B97F5A6},681.706715133593,8357.0553837748
16,ARAPAHOE TRIANGLE,1556,1554.166985,{546466B2-8AFC-4703-B4F9-55EB6CE8F703},201.886363927459,1554.16076844553
17,ARROYO HEIGHTS,485,157202.140195,{9429BF2F-2162-49CB-803D-265A914022D2},2404.74207276334,157201.511386245
18,ARROYOS NATURAL AREA,485,150631.075443,{D921F62E-BCA0-4AF6-A0F2-30740D14B375},3515.74900233715,150630.472919891
19,ATLANTIC CITY BOAT RAMP,4081,278166.660494,{C9AD0CB7-9076-46F4-A239-226A4F824160},2271.83472604983,278165.547829584
20,ATLANTIC STREET PARK,4243,32080.563925,{AF60365F-181B-4B9C-B3E2-5C7A6E89D878},1086.20138897632,32080.4356029498
21,B.F. DAY PLAYGROUND,241,102835.917612,{43A4074A-68B5-49DB-807F-8FBAE33ED251},1314.31089188061,102835.50626906
22,BAGLEY VIEWPOINT,4006,6224.079938,{3DF6E874-562F-4A37-A057-1A7C6015F873},353.048202771258,6224.05504219276
23,BAKER PARK ON CROWN HILL,2840,27625.632006,{BFC22351-73C9-4089-9240-1CB587F7BBE4},803.685627428149,27625.521503214
24,BALLARD COMMONS PARK,4278,59954.1216,{3042B90F-C551-4BAA-B298-CCDB3BD3D5FA},999.60580368534,59953.8817849276
25,BALLARD CORNERS PARK,4428,10004.27147,{B21A428A-2A01-4CE4-9AF2-259F14D2F84A},500.10743440598,10004.2314535198
26,BALLARD PLAYGROUND,497,149391.977301,{7696619B-41F4-4A8A-88DC-C10D1177724A},1755.58856691441,149391.379733445
27,BALLARD SWIMMING POOL,498,36497.723767,{51882D93-60ED-4C39-B464-37EA15D796AC},765.166868696326,36497.5777771082
28,BANNER WAY TRIANGLES,4073,9610.858802,{C3C4E72D-E415-4998-88E4-7DDF82D36FB5},671.186210373187,9610.82035935914
29,BAR-S PLAYGROUND,3703,184597.559414,{ED904280-8022-4EB7-9DDA-EC4A8A64BA64},1800.11363686455,184596.821023394
30,BAYVIEW PLAYGROUND,303,201447.57257,{0259498E-61A8-4A53-97D0-E540835B7D63},1854.21213608461,201446.766780577
31,BEACON HILL PLAYGROUND,400,128761.041166,{4ED29756-B0E8-4890-A6C9-E7F55C72A3A7},1504.75390840835,128760.526122545
32,BEACON PLACE,3119,10864.567495,{4F811F3F-7853-4866-A088-C122B1D63DE6},473.845440290744,10864.5240370035
33,BEAVER POND NATURAL AREA ON THORNTON CREEK,4481,297351.183297,{86D36347-0A8E-4F45-B37E-68E2380D1F6C},5949.25820232936,297349.993894541
34,BEER SHEVA PARK,440,254461.746065,{ECCA86FB-1D68-4CC3-ABD9-A30283ABD976},2474.21607217385,254460.728217888
35,BELL STREET PARK BOULEVARD,4472,61371.938412,{825C5327-E70B-42F7-B74B-640E1CC642BB},2388.87893869371,61371.6929246459
36,BELLEVUE PLACE,4022,54064.228816,{9BCA821F-95C2-438E-AA7E-E4403D835278},1826.5115738209,54064.0125601586
37,BELLTOWN COMMUNITY CENTER,4485,6473.537402,{CDDE2E80-9C4F-44A7-9695-E0A54B013698},335.882631308044,6473.51150793164
38,BELLTOWN COTTAGE PARK,4415,7215.513455,{E12C10F6-05A4-461D-8761-621AA63476C2},360.175245452069,7215.48459227754
39,BELLTOWN P-PATCH,3908,7213.721165,{F4DC7749-21C3-4A2E-A2D0-1877BFE33C06},360.156125132875,7213.692309701
40,BELMONT PLACE,346,758.938731,{D675DCAC-75B4-4BEE-8BEA-7108F21A0F98},136.683969739163,758.935694837715
41,BELVEDERE PARK,447,72781.940528,{1050939A-01B5-4A12-8DC2-6E53898740C8},1543.1247483689,72781.6494008003
42,BELVOIR PLACE,475,17919.585238,{F2177277-8396-4FE7-9D7E-5FFB4EB840FE},764.85552120069,17919.5135600863
43,BENEFIT PLAYGROUND,436,103198.493651,{A669842C-6CEA-4C63-B0EB-EF47BF09BA45},1389.92748093701,103198.080857616
44,BENVENUTO VIEWPOINT,4245,72483.739678,{F64EA09C-CB88-42A9-8CB8-37B6421D6B1E},3829.3704684431,72483.4497438827
45,BERGEN PLACE,253,6891.305541,{9C1A5846-7D30-4F13-8B46-88B29FF963A1},366.017671790784,6891.27797626474
46,BHY KRACKE PARK,304,66733.001627,{35993A34-01F7-48B4-82FF-19CB62076AFF},1149.27425190466,66732.7346964632
47,BITTER LAKE OPEN SPACE PARK,4450,125374.359188,{3AF532DB-082F-48A8-8436-B0D107F9E187},3668.62759028325,125373.857691961
48,BITTER LAKE PLAYFIELD,288,326006.264822,{A3432C77-C082-4A3E-8DC9-06CEA982E13F},2295.66636191157,326004.960797982
