zip_code,vet_name,vet_address
98121,Urban Animal,"2200 6th Ave #110, Seattle, WA 98121"
98122,Banfield Pet Hospital,"1426 Harvard Ave, Seattle, WA 98122"
98104,Seatlle Veterinary Specialists,"805 Madison St, Seattle, WA 98104"
98109,Mercer Street Veterinary Hospital,"610 1st Ave N, Seattle, WA 98109"
98102,Urban Animal,"909 E Thomas St, Seattle, WA 98102"
98122,Jet City Animal Clinic,"822 12th Ave, Seattle, WA 98122"
98122,Broadway Veterinary Hospital,"1824 12th Ave, Seattle, WA 98122"
98102,City Cat Vet Clinic,"207 Harvard Ave E, Seattle, WA 98102"
98112,Madison Street Animal Hospital,"2215 E Madison St, Seattle, WA 98112"
98109,Banfield Pet Hospital,"512 1st Ave N, Seattle, WA 98109"
98109,Lake Union Veterinary Clinic,"1222 Republican St, Seattle, WA 98109"
98109,Queen Anne Animal Clinic,"1800 Queen Anne Ave N, Seattle, WA 98109"
98109,Dermatology Center for Animals,"430 Yale Ave N, Seattle, WA 98109"
98144,Rainier Veterinary Hospital,"815 Rainier Ave S, Seattle, WA 98144"
98119,Elliot Bay Animal Hospital,"2042 15th Ave W, Seattle, WA 98119"
98144,Atlantic Veterinary Hospital,"2115 23rd Ave S, Seattle, WA 98144"
98102,Eastlake Veterinary Hospital,"1536 Eastlake Ave E, Seattle, WA 98102"
98105,Ravenna Animal Hospital,"4541 Union Bay Pl NE, Seattle, WA 98105"
98109,Doney Coe Pet Clinic,"2212 Queen Anne Ave N, Seattle, WA 98109"
98112,Madison Park Veterinary Hospital,"4016 E Madison St, Seattle, WA 98112"
98107,Ballard Animal Hospital,"4368 Leary Way NW, Seattle, WA 98107"
98103,Northwest Veterinary Hospital,"4922 Stone Way N, Seattle, WA 98103"
98103,Aurora Veterinary Hospital,"8821 Aurora Ave N, Seattle, WA 98103"
98103,Fremont Animal Hospital,"3601 Fremont Ave N Unit 204, Seattle, WA 98103"
98103,Phinney Ridge Animal Hospital,"8205 Greenwood Ave N, Seattle, WA 98103"
98103,Cat Clinic of Seattle,"3842 Stone Way N, Seattle, WA 98103"
98103,Ancient Arts Holistic Veterinary Services,"9020 Greenwood Ave N, Seattle, WA 98103"
98117,Seatown Veterinary Care,"8542 1st Ave NW, Seattle, WA 98117"
98103,Emerald City Emergency Clinic,"4102 Stone Way N, Seattle, WA 98103"
98115,Green Lake Animal Hospital,"6857 Woodlawn Ave NE, Seattle, WA 98115"
